"Step","dulcet-rain-4 - train/inv","dulcet-rain-4 - train/inv__MIN","dulcet-rain-4 - train/inv__MAX"
"59","0.08380775153636932","0.08380775153636932","0.08380775153636932"
"72","0.07105540484189987","0.07105540484189987","0.07105540484189987"
"118","0.0726504772901535","0.0726504772901535","0.0726504772901535"
"148","0.0861050933599472","0.0861050933599472","0.0861050933599472"
"150","0.09776997566223145","0.09776997566223145","0.09776997566223145"
"153","0.08058613538742065","0.08058613538742065","0.08058613538742065"
"154","0.08815379440784454","0.08815379440784454","0.08815379440784454"
"163","0.09904143214225769","0.09904143214225769","0.09904143214225769"
"184","0.07570143789052963","0.07570143789052963","0.07570143789052963"
"224","0.07453456521034241","0.07453456521034241","0.07453456521034241"
"258","0.08918529748916626","0.08918529748916626","0.08918529748916626"
"265","0.059953004121780396","0.059953004121780396","0.059953004121780396"
"277","0.07548433542251587","0.07548433542251587","0.07548433542251587"
"280","0.06195869669318199","0.06195869669318199","0.06195869669318199"
"301","0.0794539600610733","0.0794539600610733","0.0794539600610733"
"305","0.0778784304857254","0.0778784304857254","0.0778784304857254"
"318","0.058037884533405304","0.058037884533405304","0.058037884533405304"
"337","0.09808555245399475","0.09808555245399475","0.09808555245399475"
"353","0.0650833398103714","0.0650833398103714","0.0650833398103714"
"389","0.06475682556629181","0.06475682556629181","0.06475682556629181"
"425","0.06925712525844574","0.06925712525844574","0.06925712525844574"
"430","0.05342172086238861","0.05342172086238861","0.05342172086238861"
"477","0.06412916630506516","0.06412916630506516","0.06412916630506516"
"515","0.043140508234500885","0.043140508234500885","0.043140508234500885"
"534","0.04761422425508499","0.04761422425508499","0.04761422425508499"
"586","0.06551069766283035","0.06551069766283035","0.06551069766283035"
"614","0.07511605322360992","0.07511605322360992","0.07511605322360992"
"647","0.06831047683954239","0.06831047683954239","0.06831047683954239"
"653","0.06796291470527649","0.06796291470527649","0.06796291470527649"
"753","0.0638863742351532","0.0638863742351532","0.0638863742351532"
"764","0.06038593873381615","0.06038593873381615","0.06038593873381615"
"790","0.07681053876876831","0.07681053876876831","0.07681053876876831"
"808","0.06392089277505875","0.06392089277505875","0.06392089277505875"
"924","0.07551760971546173","0.07551760971546173","0.07551760971546173"
"950","0.07541457563638687","0.07541457563638687","0.07541457563638687"
"964","0.07421234995126724","0.07421234995126724","0.07421234995126724"
"967","0.06088169664144516","0.06088169664144516","0.06088169664144516"
"993","0.055487342178821564","0.055487342178821564","0.055487342178821564"
"999","0.07891328632831573","0.07891328632831573","0.07891328632831573"
"1000","0.06476417928934097","0.06476417928934097","0.06476417928934097"
"1023","0.06495298445224762","0.06495298445224762","0.06495298445224762"
"1052","0.09588368982076645","0.09588368982076645","0.09588368982076645"
"1069","0.07175391167402267","0.07175391167402267","0.07175391167402267"
"1077","0.07370408624410629","0.07370408624410629","0.07370408624410629"
"1115","0.050752799957990646","0.050752799957990646","0.050752799957990646"
"1131","0.07222388684749603","0.07222388684749603","0.07222388684749603"
"1133","0.04658897593617439","0.04658897593617439","0.04658897593617439"
"1139","0.0574805811047554","0.0574805811047554","0.0574805811047554"
"1167","0.057312965393066406","0.057312965393066406","0.057312965393066406"
"1170","0.08520331978797913","0.08520331978797913","0.08520331978797913"
"1186","0.10345014929771423","0.10345014929771423","0.10345014929771423"
"1220","0.08018701523542404","0.08018701523542404","0.08018701523542404"
"1236","0.07002443075180054","0.07002443075180054","0.07002443075180054"
"1242","0.05829821527004242","0.05829821527004242","0.05829821527004242"
"1256","0.06866131722927094","0.06866131722927094","0.06866131722927094"
"1272","0.06549463421106339","0.06549463421106339","0.06549463421106339"
"1275","0.06834794580936432","0.06834794580936432","0.06834794580936432"
"1355","0.04857896268367767","0.04857896268367767","0.04857896268367767"
"1370","0.060189954936504364","0.060189954936504364","0.060189954936504364"
"1432","0.0679640918970108","0.0679640918970108","0.0679640918970108"
"1450","0.09188024699687958","0.09188024699687958","0.09188024699687958"
"1451","0.09403891861438751","0.09403891861438751","0.09403891861438751"
"1452","0.07372652739286423","0.07372652739286423","0.07372652739286423"
"1474","0.07150806486606598","0.07150806486606598","0.07150806486606598"
"1506","0.078764408826828","0.078764408826828","0.078764408826828"
"1512","0.05610731244087219","0.05610731244087219","0.05610731244087219"
"1536","0.06254061311483383","0.06254061311483383","0.06254061311483383"
"1581","0.041266296058893204","0.041266296058893204","0.041266296058893204"
"1603","0.06800612062215805","0.06800612062215805","0.06800612062215805"
"1691","0.05320531874895096","0.05320531874895096","0.05320531874895096"
"1707","0.06784134358167648","0.06784134358167648","0.06784134358167648"
"1723","0.07721168547868729","0.07721168547868729","0.07721168547868729"
"1746","0.05653741955757141","0.05653741955757141","0.05653741955757141"
"1765","0.05185582861304283","0.05185582861304283","0.05185582861304283"
"1779","0.061561305075883865","0.061561305075883865","0.061561305075883865"
"1788","0.0560324490070343","0.0560324490070343","0.0560324490070343"
"1798","0.06136935204267502","0.06136935204267502","0.06136935204267502"
"1820","0.03834093362092972","0.03834093362092972","0.03834093362092972"
"1827","0.06545281410217285","0.06545281410217285","0.06545281410217285"
"1836","0.05766492709517479","0.05766492709517479","0.05766492709517479"
"1838","0.0681099072098732","0.0681099072098732","0.0681099072098732"
"1839","0.0789579227566719","0.0789579227566719","0.0789579227566719"
"1903","0.046096011996269226","0.046096011996269226","0.046096011996269226"
"1939","0.031525153666734695","0.031525153666734695","0.031525153666734695"
"1950","0.06483879685401917","0.06483879685401917","0.06483879685401917"
"1962","0.08630561828613281","0.08630561828613281","0.08630561828613281"
"1991","0.04087458550930023","0.04087458550930023","0.04087458550930023"
"1997","0.07494737952947617","0.07494737952947617","0.07494737952947617"
"2020","0.043970540165901184","0.043970540165901184","0.043970540165901184"
"2034","0.06650018692016602","0.06650018692016602","0.06650018692016602"
"2040","0.05772591382265091","0.05772591382265091","0.05772591382265091"
"2055","0.07685350626707077","0.07685350626707077","0.07685350626707077"
"2075","0.058144211769104004","0.058144211769104004","0.058144211769104004"
"2112","0.03570485860109329","0.03570485860109329","0.03570485860109329"
"2159","0.07363426685333252","0.07363426685333252","0.07363426685333252"
"2171","0.04953305423259735","0.04953305423259735","0.04953305423259735"
"2178","0.07808000594377518","0.07808000594377518","0.07808000594377518"
"2191","0.06430311501026154","0.06430311501026154","0.06430311501026154"
"2194","0.04895130544900894","0.04895130544900894","0.04895130544900894"
"2196","0.04834650084376335","0.04834650084376335","0.04834650084376335"
"2208","0.06682141125202179","0.06682141125202179","0.06682141125202179"
"2270","0.05437525734305382","0.05437525734305382","0.05437525734305382"
"2290","0.08751732110977173","0.08751732110977173","0.08751732110977173"
"2302","0.06939736008644104","0.06939736008644104","0.06939736008644104"
"2309","0.05493749678134918","0.05493749678134918","0.05493749678134918"
"2335","0.05671802908182144","0.05671802908182144","0.05671802908182144"
"2359","0.07728197425603867","0.07728197425603867","0.07728197425603867"
"2386","0.051188357174396515","0.051188357174396515","0.051188357174396515"
"2427","0.06276513636112213","0.06276513636112213","0.06276513636112213"
"2430","0.07767683267593384","0.07767683267593384","0.07767683267593384"
