"Step","dulcet-rain-4 - train/lejepa","dulcet-rain-4 - train/lejepa__MIN","dulcet-rain-4 - train/lejepa__MAX"
"59","0.24814721941947937","0.24814721941947937","0.24814721941947937"
"72","0.23564991354942322","0.23564991354942322","0.23564991354942322"
"118","0.2274474799633026","0.2274474799633026","0.2274474799633026"
"148","0.23282049596309662","0.23282049596309662","0.23282049596309662"
"150","0.23155677318572998","0.23155677318572998","0.23155677318572998"
"153","0.2371775358915329","0.2371775358915329","0.2371775358915329"
"154","0.25240635871887207","0.25240635871887207","0.25240635871887207"
"163","0.24745123088359833","0.24745123088359833","0.24745123088359833"
"184","0.23239053785800934","0.23239053785800934","0.23239053785800934"
"224","0.21757513284683228","0.21757513284683228","0.21757513284683228"
"258","0.2338859736919403","0.2338859736919403","0.2338859736919403"
"265","0.20719143748283386","0.20719143748283386","0.20719143748283386"
"277","0.2302246391773224","0.2302246391773224","0.2302246391773224"
"280","0.22966483235359192","0.22966483235359192","0.22966483235359192"
"301","0.2223961353302002","0.2223961353302002","0.2223961353302002"
"305","0.2228052318096161","0.2228052318096161","0.2228052318096161"
"318","0.22289276123046875","0.22289276123046875","0.22289276123046875"
"337","0.2445613443851471","0.2445613443851471","0.2445613443851471"
"353","0.23175042867660522","0.23175042867660522","0.23175042867660522"
"389","0.21482887864112854","0.21482887864112854","0.21482887864112854"
"425","0.19873136281967163","0.19873136281967163","0.19873136281967163"
"430","0.21446266770362854","0.21446266770362854","0.21446266770362854"
"477","0.2200731486082077","0.2200731486082077","0.2200731486082077"
"515","0.21708238124847412","0.21708238124847412","0.21708238124847412"
"534","0.20291194319725037","0.20291194319725037","0.20291194319725037"
"586","0.1901770532131195","0.1901770532131195","0.1901770532131195"
"614","0.2034965455532074","0.2034965455532074","0.2034965455532074"
"647","0.19292083382606506","0.19292083382606506","0.19292083382606506"
"653","0.1974630355834961","0.1974630355834961","0.1974630355834961"
"753","0.19639770686626434","0.19639770686626434","0.19639770686626434"
"764","0.1836899369955063","0.1836899369955063","0.1836899369955063"
"790","0.21589931845664978","0.21589931845664978","0.21589931845664978"
"808","0.18959560990333557","0.18959560990333557","0.18959560990333557"
"924","0.19900725781917572","0.19900725781917572","0.19900725781917572"
"950","0.1925586313009262","0.1925586313009262","0.1925586313009262"
"964","0.18698590993881226","0.18698590993881226","0.18698590993881226"
"967","0.1924765706062317","0.1924765706062317","0.1924765706062317"
"993","0.20379166305065155","0.20379166305065155","0.20379166305065155"
"999","0.19745221734046936","0.19745221734046936","0.19745221734046936"
"1000","0.17723843455314636","0.17723843455314636","0.17723843455314636"
"1023","0.17986485362052917","0.17986485362052917","0.17986485362052917"
"1052","0.21994256973266602","0.21994256973266602","0.21994256973266602"
"1069","0.19922508299350739","0.19922508299350739","0.19922508299350739"
"1077","0.1874643862247467","0.1874643862247467","0.1874643862247467"
"1115","0.17571431398391724","0.17571431398391724","0.17571431398391724"
"1131","0.18943175673484802","0.18943175673484802","0.18943175673484802"
"1133","0.1564970463514328","0.1564970463514328","0.1564970463514328"
"1139","0.17547160387039185","0.17547160387039185","0.17547160387039185"
"1167","0.17823702096939087","0.17823702096939087","0.17823702096939087"
"1170","0.1987336277961731","0.1987336277961731","0.1987336277961731"
"1186","0.21124443411827087","0.21124443411827087","0.21124443411827087"
"1220","0.1943059265613556","0.1943059265613556","0.1943059265613556"
"1236","0.19655363261699677","0.19655363261699677","0.19655363261699677"
"1242","0.16260099411010742","0.16260099411010742","0.16260099411010742"
"1256","0.1668974757194519","0.1668974757194519","0.1668974757194519"
"1272","0.1652589589357376","0.1652589589357376","0.1652589589357376"
"1275","0.1724497377872467","0.1724497377872467","0.1724497377872467"
"1355","0.1794433295726776","0.1794433295726776","0.1794433295726776"
"1370","0.19082209467887878","0.19082209467887878","0.19082209467887878"
"1432","0.16963215172290802","0.16963215172290802","0.16963215172290802"
"1450","0.18623405694961548","0.18623405694961548","0.18623405694961548"
"1451","0.18102532625198364","0.18102532625198364","0.18102532625198364"
"1452","0.16746684908866882","0.16746684908866882","0.16746684908866882"
"1474","0.17359352111816406","0.17359352111816406","0.17359352111816406"
"1506","0.1846109926700592","0.1846109926700592","0.1846109926700592"
"1512","0.1628953218460083","0.1628953218460083","0.1628953218460083"
"1536","0.15699292719364166","0.15699292719364166","0.15699292719364166"
"1581","0.15372222661972046","0.15372222661972046","0.15372222661972046"
"1603","0.166743665933609","0.166743665933609","0.166743665933609"
"1691","0.1595630943775177","0.1595630943775177","0.1595630943775177"
"1707","0.1695118546485901","0.1695118546485901","0.1695118546485901"
"1723","0.16795261204242706","0.16795261204242706","0.16795261204242706"
