"Step","dulcet-rain-4 - train/probe","dulcet-rain-4 - train/probe__MIN","dulcet-rain-4 - train/probe__MAX"
"59","3.8631591796875","3.8631591796875","3.8631591796875"
"72","3.3902587890625","3.3902587890625","3.3902587890625"
"118","2.81805419921875","2.81805419921875","2.81805419921875"
"148","2.50701904296875","2.50701904296875","2.50701904296875"
"150","2.5009765625","2.5009765625","2.5009765625"
"153","2.49798583984375","2.49798583984375","2.49798583984375"
"154","2.521728515625","2.521728515625","2.521728515625"
"163","2.530120849609375","2.530120849609375","2.530120849609375"
"184","2.5057373046875","2.5057373046875","2.5057373046875"
"224","2.35772705078125","2.35772705078125","2.35772705078125"
"258","2.226715087890625","2.226715087890625","2.226715087890625"
"265","2.39727783203125","2.39727783203125","2.39727783203125"
"277","2.5594482421875","2.5594482421875","2.5594482421875"
"280","2.7978515625","2.7978515625","2.7978515625"
"301","2.35418701171875","2.35418701171875","2.35418701171875"
"305","2.3306121826171875","2.3306121826171875","2.3306121826171875"
"318","2.24859619140625","2.24859619140625","2.24859619140625"
"337","2.36053466796875","2.36053466796875","2.36053466796875"
"353","2.23187255859375","2.23187255859375","2.23187255859375"
"389","2.2966461181640625","2.2966461181640625","2.2966461181640625"
"425","2.25848388671875","2.25848388671875","2.25848388671875"
"430","2.300262451171875","2.300262451171875","2.300262451171875"
"477","2.16717529296875","2.16717529296875","2.16717529296875"
"515","1.9939117431640625","1.9939117431640625","1.9939117431640625"
"534","2.28619384765625","2.28619384765625","2.28619384765625"
"586","2.1781768798828125","2.1781768798828125","2.1781768798828125"
"614","2.1704864501953125","2.1704864501953125","2.1704864501953125"
"647","2.0552978515625","2.0552978515625","2.0552978515625"
"653","2.126129150390625","2.126129150390625","2.126129150390625"
"753","1.943389892578125","1.943389892578125","1.943389892578125"
"764","2.1728668212890625","2.1728668212890625","2.1728668212890625"
"790","2.242584228515625","2.242584228515625","2.242584228515625"
"808","1.9836654663085938","1.9836654663085938","1.9836654663085938"
"924","2.2249755859375","2.2249755859375","2.2249755859375"
"950","2.1429443359375","2.1429443359375","2.1429443359375"
"964","2.0044708251953125","2.0044708251953125","2.0044708251953125"
"967","2.3722610473632812","2.3722610473632812","2.3722610473632812"
"993","2.0977935791015625","2.0977935791015625","2.0977935791015625"
"999","2.0529098510742188","2.0529098510742188","2.0529098510742188"
"1000","2.094085693359375","2.094085693359375","2.094085693359375"
"1023","2.2255401611328125","2.2255401611328125","2.2255401611328125"
"1052","2.508575439453125","2.508575439453125","2.508575439453125"
"1069","2.67694091796875","2.67694091796875","2.67694091796875"
"1077","2.11865234375","2.11865234375","2.11865234375"
"1115","2.0571136474609375","2.0571136474609375","2.0571136474609375"
"1131","1.998077392578125","1.998077392578125","1.998077392578125"
"1133","1.794189453125","1.794189453125","1.794189453125"
"1139","1.9865570068359375","1.9865570068359375","1.9865570068359375"
"1167","1.7532196044921875","1.7532196044921875","1.7532196044921875"
"1170","2.1897735595703125","2.1897735595703125","2.1897735595703125"
"1186","2.16375732421875","2.16375732421875","2.16375732421875"
"1220","2.2250518798828125","2.2250518798828125","2.2250518798828125"
"1236","2.3214569091796875","2.3214569091796875","2.3214569091796875"
"1242","1.99224853515625","1.99224853515625","1.99224853515625"
"1256","2.1973876953125","2.1973876953125","2.1973876953125"
"1272","2.1838531494140625","2.1838531494140625","2.1838531494140625"
"1275","2.1605072021484375","2.1605072021484375","2.1605072021484375"
"1355","2.187744140625","2.187744140625","2.187744140625"
"1370","2.405029296875","2.405029296875","2.405029296875"
"1432","1.93133544921875","1.93133544921875","1.93133544921875"
"1450","1.9407958984375","1.9407958984375","1.9407958984375"
"1451","2.0951309204101562","2.0951309204101562","2.0951309204101562"
"1452","1.8965187072753906","1.8965187072753906","1.8965187072753906"
"1474","1.7565765380859375","1.7565765380859375","1.7565765380859375"
"1506","2.0650634765625","2.0650634765625","2.0650634765625"
"1512","2.158843994140625","2.158843994140625","2.158843994140625"
"1536","1.9945068359375","1.9945068359375","1.9945068359375"
"1581","1.7908611297607422","1.7908611297607422","1.7908611297607422"
"1603","2.4060134887695312","2.4060134887695312","2.4060134887695312"
"1691","1.9222488403320312","1.9222488403320312","1.9222488403320312"
"1707","1.85076904296875","1.85076904296875","1.85076904296875"
"1723","1.952239990234375","1.952239990234375","1.952239990234375"
"1746","1.95068359375","1.95068359375","1.95068359375"
"1765","2.026275634765625","2.026275634765625","2.026275634765625"
"1779","2.3548431396484375","2.3548431396484375","2.3548431396484375"
"1788","1.7428550720214844","1.7428550720214844","1.7428550720214844"
"1798","2.2840423583984375","2.2840423583984375","2.2840423583984375"
"1820","1.8283500671386719","1.8283500671386719","1.8283500671386719"
"1827","2.1633567810058594","2.1633567810058594","2.1633567810058594"
"1836","2.178558349609375","2.178558349609375","2.178558349609375"
"1838","2.269805908203125","2.269805908203125","2.269805908203125"
"1839","2.329132080078125","2.329132080078125","2.329132080078125"
"1903","2.1465911865234375","2.1465911865234375","2.1465911865234375"
"1939","1.8068084716796875","1.8068084716796875","1.8068084716796875"
"1950","1.76617431640625","1.76617431640625","1.76617431640625"
"1962","2.132068634033203","2.132068634033203","2.132068634033203"
"1991","1.9930152893066406","1.9930152893066406","1.9930152893066406"
"1997","2.028228759765625","2.028228759765625","2.028228759765625"
"2020","1.985687255859375","1.985687255859375","1.985687255859375"
"2034","1.9004669189453125","1.9004669189453125","1.9004669189453125"
"2040","2.0793609619140625","2.0793609619140625","2.0793609619140625"
"2055","1.9311370849609375","1.9311370849609375","1.9311370849609375"
"2075","1.749176025390625","1.749176025390625","1.749176025390625"
"2112","1.684844970703125","1.684844970703125","1.684844970703125"
"2159","1.7464599609375","1.7464599609375","1.7464599609375"
"2171","1.9060897827148438","1.9060897827148438","1.9060897827148438"
"2178","1.955047607421875","1.955047607421875","1.955047607421875"
"2191","2.13153076171875","2.13153076171875","2.13153076171875"
"2194","2.0547943115234375","2.0547943115234375","2.0547943115234375"
"2196","1.9474639892578125","1.9474639892578125","1.9474639892578125"
"2208","2.0927734375","2.0927734375","2.0927734375"
"2270","1.912628173828125","1.912628173828125","1.912628173828125"
"2290","2.1291885375976562","2.1291885375976562","2.1291885375976562"
"2302","2.0743408203125","2.0743408203125","2.0743408203125"
"2309","2.1187896728515625","2.1187896728515625","2.1187896728515625"
"2335","1.8966217041015625","1.8966217041015625","1.8966217041015625"
"2359","2.10003662109375","2.10003662109375","2.10003662109375"
"2386","2.1720428466796875","2.1720428466796875","2.1720428466796875"
"2427","1.8154430389404297","1.8154430389404297","1.8154430389404297"
"2430","1.9680767059326172","1.9680767059326172","1.9680767059326172"
"2436","1.7345085144042969","1.7345085144042969","1.7345085144042969"
"2467","1.9316864013671875","1.9316864013671875","1.9316864013671875"
"2541","2.0435028076171875","2.0435028076171875","2.0435028076171875"
"2550","1.8185272216796875","1.8185272216796875","1.8185272216796875"
"2557","1.7699203491210938","1.7699203491210938","1.7699203491210938"
"2571","1.850799560546875","1.850799560546875","1.850799560546875"
"2598","1.9444122314453125","1.9444122314453125","1.9444122314453125"
"2632","1.8266143798828125","1.8266143798828125","1.8266143798828125"
"2671","1.86431884765625","1.86431884765625","1.86431884765625"
"2681","2.0033111572265625","2.0033111572265625","2.0033111572265625"
"2716","2.05548095703125","2.05548095703125","2.05548095703125"
"2741","2.0469512939453125","2.0469512939453125","2.0469512939453125"
"2761","1.845001220703125","1.845001220703125","1.845001220703125"
"2824","1.9489517211914062","1.9489517211914062","1.9489517211914062"
"2830","1.73309326171875","1.73309326171875","1.73309326171875"
"2842","2.0614547729492188","2.0614547729492188","2.0614547729492188"
"2883","1.8334121704101562","1.8334121704101562","1.8334121704101562"
"2920","2.1250152587890625","2.1250152587890625","2.1250152587890625"
"2968","2.2914505004882812","2.2914505004882812","2.2914505004882812"
"2985","2.232025146484375","2.232025146484375","2.232025146484375"
"3013","1.8072395324707031","1.8072395324707031","1.8072395324707031"
"3039","1.937164306640625","1.937164306640625","1.937164306640625"
"3078","2.187744140625","2.187744140625","2.187744140625"
"3083","1.9131011962890625","1.9131011962890625","1.9131011962890625"
"3101","2.1447601318359375","2.1447601318359375","2.1447601318359375"
"3106","1.959503173828125","1.959503173828125","1.959503173828125"
"3127","2.0949249267578125","2.0949249267578125","2.0949249267578125"
"3134","2.260528564453125","2.260528564453125","2.260528564453125"
"3173","1.7129669189453125","1.7129669189453125","1.7129669189453125"
"3177","1.8037567138671875","1.8037567138671875","1.8037567138671875"
"3225","1.8847274780273438","1.8847274780273438","1.8847274780273438"
"3284","2.0075454711914062","2.0075454711914062","2.0075454711914062"
"3285","1.722808837890625","1.722808837890625","1.722808837890625"
"3317","1.9240493774414062","1.9240493774414062","1.9240493774414062"
"3327","1.8812007904052734","1.8812007904052734","1.8812007904052734"
"3346","1.8608856201171875","1.8608856201171875","1.8608856201171875"
"3352","1.6303558349609375","1.6303558349609375","1.6303558349609375"
"3367","2.0589752197265625","2.0589752197265625","2.0589752197265625"
"3383","1.5043315887451172","1.5043315887451172","1.5043315887451172"
"3428","1.9026870727539062","1.9026870727539062","1.9026870727539062"
