"Step","dulcet-rain-4 - test/acc","dulcet-rain-4 - test/acc__MIN","dulcet-rain-4 - test/acc__MAX"
"295","0.22496815286624203","0.22496815286624203","0.22496815286624203"
"591","0.23821656050955414","0.23821656050955414","0.23821656050955414"
"887","0.2219108280254777","0.2219108280254777","0.2219108280254777"
"1183","0.21503184713375798","0.21503184713375798","0.21503184713375798"
"1479","0.3161783439490446","0.3161783439490446","0.3161783439490446"
"1775","0.26420382165605094","0.26420382165605094","0.26420382165605094"
"2071","0.28611464968152867","0.28611464968152867","0.28611464968152867"
"2367","0.3373248407643312","0.3373248407643312","0.3373248407643312"
"2663","0.3207643312101911","0.3207643312101911","0.3207643312101911"
"2959","0.3205095541401274","0.3205095541401274","0.3205095541401274"
"3255","0.30878980891719743","0.30878980891719743","0.30878980891719743"
"3551","0.3561783439490446","0.3561783439490446","0.3561783439490446"
"3847","0.3197452229299363","0.3197452229299363","0.3197452229299363"
"4143","0.31719745222929935","0.31719745222929935","0.31719745222929935"
"4439","0.31363057324840765","0.31363057324840765","0.31363057324840765"
"4735","0.3482802547770701","0.3482802547770701","0.3482802547770701"
"5031","0.3579617834394904","0.3579617834394904","0.3579617834394904"
"5327","0.3151592356687898","0.3151592356687898","0.3151592356687898"
"5623","0.36356687898089174","0.36356687898089174","0.36356687898089174"
"5919","0.35337579617834397","0.35337579617834397","0.35337579617834397"
"6215","0.35464968152866244","0.35464968152866244","0.35464968152866244"
"6511","0.36229299363057327","0.36229299363057327","0.36229299363057327"
"6807","0.3526114649681529","0.3526114649681529","0.3526114649681529"
"7103","0.40382165605095544","0.40382165605095544","0.40382165605095544"
"7399","0.3943949044585987","0.3943949044585987","0.3943949044585987"
"7695","0.39796178343949046","0.39796178343949046","0.39796178343949046"
"7991","0.3640764331210191","0.3640764331210191","0.3640764331210191"
"8287","0.38802547770700635","0.38802547770700635","0.38802547770700635"
"8583","0.42369426751592354","0.42369426751592354","0.42369426751592354"
"8879","0.39694267515923565","0.39694267515923565","0.39694267515923565"
"9175","0.3778343949044586","0.3778343949044586","0.3778343949044586"
"9471","0.3862420382165605","0.3862420382165605","0.3862420382165605"
"9767","0.42853503184713376","0.42853503184713376","0.42853503184713376"
"10063","0.40585987261146494","0.40585987261146494","0.40585987261146494"
"10359","0.42929936305732486","0.42929936305732486","0.42929936305732486"
"10655","0.375031847133758","0.375031847133758","0.375031847133758"
"10951","0.4168152866242038","0.4168152866242038","0.4168152866242038"
"11247","0.387515923566879","0.387515923566879","0.387515923566879"
"11543","0.39643312101910827","0.39643312101910827","0.39643312101910827"
"11839","0.41885350318471337","0.41885350318471337","0.41885350318471337"
"12135","0.4629299363057325","0.4629299363057325","0.4629299363057325"
"12431","0.4318471337579618","0.4318471337579618","0.4318471337579618"
"12727","0.4178343949044586","0.4178343949044586","0.4178343949044586"
"13023","0.4435668789808917","0.4435668789808917","0.4435668789808917"
"13319","0.41477707006369424","0.41477707006369424","0.41477707006369424"
"13615","0.42904458598726114","0.42904458598726114","0.42904458598726114"
"13911","0.4614012738853503","0.4614012738853503","0.4614012738853503"
"14207","0.4929936305732484","0.4929936305732484","0.4929936305732484"
"14503","0.46726114649681527","0.46726114649681527","0.46726114649681527"
"14799","0.48433121019108283","0.48433121019108283","0.48433121019108283"
"15095","0.49579617834394907","0.49579617834394907","0.49579617834394907"
"15391","0.48509554140127387","0.48509554140127387","0.48509554140127387"
"15687","0.49707006369426754","0.49707006369426754","0.49707006369426754"
"15983","0.44993630573248405","0.44993630573248405","0.44993630573248405"
"16279","0.47770700636942676","0.47770700636942676","0.47770700636942676"
"16575","0.49528662420382163","0.49528662420382163","0.49528662420382163"
"16871","0.5019108280254777","0.5019108280254777","0.5019108280254777"
"17167","0.49528662420382163","0.49528662420382163","0.49528662420382163"
